cont_id,distance,relationship,setting,location_multi,location_fine_multi
20868,Between 1 and 2 meters,Cohabitant,indoor,Home,Cohabitant
20869,More than 2 meters,Friend or acquaintance,outdoor,Leisure,Leisure
20870,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
20871,,Cohabitant,indoor,Home,Cohabitant
20872,,Cohabitant,indoor,Home,Cohabitant
20873,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
20874,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
20875,Between 1 and 2 meters,Cohabitant,indoor,Home,Cohabitant
20876,Less than 1 meter,Cohabitant,indoor,Home,Cohabitant
20877,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
20878,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
20879,Pyshical contact,Coworker,indoor,Work,Work
20880,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
20881,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
20882,More than 2 meters,Friend or acquaintance,outdoor,Leisure,Leisure
